model,fold,accuracy,roc_auc,precision,recall_sensitivity,f1,specificity
logreg,0,0.9230769230769231,0.9778325123152709,0.9649122807017544,0.9482758620689655,0.9565217391304348,0.7142857142857143
logreg,1,0.9375,0.9568965517241379,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.6666666666666666
logreg,2,0.9375,0.971264367816092,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.6666666666666666
logreg,3,0.953125,0.9699248120300752,0.9655172413793104,0.9824561403508771,0.9739130434782609,0.7142857142857143
logreg,4,0.921875,0.9298245614035088,0.9333333333333333,0.9824561403508771,0.9572649572649573,0.42857142857142855
rf,0,0.9076923076923077,0.9556650246305418,0.9193548387096774,0.9827586206896551,0.95,0.2857142857142857
rf,1,0.921875,0.9741379310344828,0.9344262295081968,0.9827586206896551,0.957983193277311,0.3333333333333333
rf,2,0.921875,0.9683908045977011,0.9344262295081968,0.9827586206896551,0.957983193277311,0.3333333333333333
rf,3,0.90625,0.9473684210526315,0.9047619047619048,1.0,0.95,0.14285714285714285
rf,4,0.890625,0.9248120300751879,0.9166666666666666,0.9649122807017544,0.9401709401709402,0.2857142857142857
